AACI : 10,324884462151388
AAL : 14,60125497808765
AAME : 2,2055378486055774
AAON : 58,98378479880481
AACG : 1,4835458167330686
AADI : 8,24732868525897
AAOI : 5,27504183266932
AATC : 4,687171314741034
AAPL : 165,9869522609561
ACABU : 10,414659362549836
ABCL : 7,517155378486053
ABEO : 3,421274900398407
ACCD : 11,325111555776902
ACER : 1,2929999999999986
ABCB : 40,5346015577689
ABUS : 2,4252988047808755
ACET : 5,859318723107575
ACHV : 5,013386454183264
ACGL : 71,94942235258955
ACGLN : 18,897362557768908
ACHL : 1,0346633466135462
ACGLO : 22,24554188844623
ACHC : 75,93430289641434
ACIU : 2,5182330677290836
ACIW : 23,88009961553787
ACMR : 12,494087655378488
ACLS : 137,19005983067728
ACOR : 13,688107579681278
ACNB : 34,216832651394434
ACRS : 10,255113557768928
ACRX : 1,2118725099601593
ACST : 2,8599402390438233
ACT : 25,532179270916323
ACXP : 3,07431673306773
ADAG : 1,4377171314741046
ACVA : 13,422099623505973
ACTG : 3,9593027888446213
ADERW : не число
ADAP : 1,200940239043824
ADBE : 431,3075302908366
ADES : 2,140916334661355
ADMA : 3,612498007968126
ADNWW : не число
ADI : 178,84822702589642
ADOCR : не число
ADIL : 6,501195219123504
ADOC : 10,954917999999992
ADOCW : не число
ADN : 1,0797410358565744
ADPT : 7,2731812749003995
ADP : 232,34615563346603
ADSEW : не число
ADTH : 1,5096912350597613
ADSK : 204,46161344422325
ADSE : 4,860998007968129
ADTHW : не число
ADXN : 15,084940209163351
ADTN : 12,383227087649404
ADTX : 32,276828794820695
ADVM : 1,0926573705179292
ADUS : 95,64105571115533
ADV : 2,255029880478088
AEHL : 7,340637450199206
AEAE : 10,37035200000001
AEI : 1,948145418326693
AEHR : 34,83278884063742
AEIS : 98,1101594282869
AEMD : 3,582649402390437
AEP : 86,54015936055778
AEYE : 5,381832669322704
AEY : 0,9153361155378487
AEZS : 2,8984262948207205
AFCG : 13,40863943426294
AFIB : 0,8759641434262944
AFBI : 14,163336651394433
AFMD : 0,8527549800796813
AFRM : 14,98664545418326
AFYA : 14,13151194621514
AGBAW : не число
AGEN : 1,7279120816733078
AGILW : не число
AGFY : 5,978856575697211
AGIO : 25,841513928286847
AGIL : 1,9911155378486072
AGLE : 10,800376494023903
AGNCP : 20,629320747011953
AGNCO : 22,030966063745023
AGMH : 1,7366035856573716
AGNC : 9,907250996015932
AGNCM : 21,9332231135458
AGNCN : 25,062882434262953
AGRIW : не число
AGRI : 28,28484261354583
AHG : 0,543147410358566
AHCO : 13,958256976095619
AGRX : 6,652000000000005
AHI : 2,488992031872509
AIHS : 0,720129482071713
AIH : 1,0811135458167322
AGYS : 74,56519910159358
AIRG : 5,588258964143428
AIP : 5,647812749003986
AIRS : 6,249729083665336
AIRT : 23,68205177490039
AIRTP : 21,568717049800792
AKAM : 91,04782851792831
AKTS : 2,595990039840637
AKBA : 0,9140398406374503
AKRO : 42,33902395617528
AKTX : 5,595998007968123
AKYA : 7,696521912350601
AKU : 0,5523969400000001
ALEC : 7,1610577689243
ALCO : 25,299760938246994
ALDX : 7,20579482071713
ALGM : 37,77468726294821
ALF : 0,04266844621513931
ALGN : 293,81346590637446
ALGS : 1,086906374501993
ALGT : 92,0583466772908
ALHC : 7,885372509960161
ALIM : 2,789414342629481
ALKS : 28,054342595617538
ALKT : 15,300828685258963
ALLO : 5,473306772908367
ALLK : 4,855458167330678
ALOR : 10,51991799999999
ALORW : не число
ALLR : 143,4957787888446
ALLT : 2,8003784860557777
ALPN : 9,529153386454178
ALNY : 198,7100002609563
ALPP : 2,883603585657371
ALOT : 13,563099996000002
ALRM : 52,522866567729096
ALRS : 18,841932310756974
ALRN : 1,8543525896414348
ALSA : 10,641098000000015
ALT : 6,526406370517927
ALSAU : 10,718380000000002
ALTR : 63,27725299800797
ALTU : 10,057460159362535
ALTUU : 10,037900000000011
ALTUW : 0,05383600000000005
ALTO : 3,001613545816732
ALVR : 4,205472111553787
ALXO : 7,235111553784864
ALYA : 1,7550796812748999
ALZN : 7,8109541912350595
AMAL : 19,373685237051788
AMAT : 126,23569748605573
AMBA : 72,95223108366534
AMCX : 15,171932268924301
AMED : 87,6423507390438
AMD : 95,44549800996016
AMKR : 25,598804800796817
AMEH : 33,51507956772908
AMGN : 250,42432284262924
AMNB : 34,59952200199206
AMPGW : 0,36202400000000073
AMLX : 27,351992005976104
AMPH : 42,41647407569723
AMPL : 11,806938249003979
AMRK : 34,118683306772915
AMPG : 2,3339063745019932
AMSC : 5,885278886454182
AMRN : 1,2732071713147401
AMST : 3,3191573705179276
AMTB : 21,895697199203166
AMSWA : 12,513585657370516
AMSF : 52,59924299601596
AMTI : 0,4104900398406375
AMTX : 4,577874501992032
AMWD : 62,55735060159363
ANAB : 21,659019904382447
ANEB : 2,6884900398406386
ANDE : 43,653824790836644
ANGI : 2,539621513944223
AMZN : 114,01187250398407
ANGO : 10,161892430278884
ANIP : 48,28916338047808
ANIK : 25,475139428286855
ANIX : 3,919980079681273
ANNX : 4,171798804780878
ANTE : 1,3378087649402408
ANY : 2,183280876494024
ANZUW : не число
ANSS : 294,8975100597608
AOUT : 9,278810756972117
APCXW : не число
APCX : 2,229932270916335
APDN : 1,295677290836653
AOGOU : 10,580149402390422
APA : 39,735497998007986
AOSL : 29,054263015936247
APAC : 10,684718000000002
APLS : 58,77173117529881
APPF : 149,52356992031875
APP : 23,745071705179278
API : 3,290579681274898
APOG : 45,13077700000004
APPN : 42,2361015796813
APEI : 7,509262948207166
APPS : 11,0134860816733
APM : 3,242701195219123
APTMU : 10,327752191235046
APRE : 5,2214063745019885
APLT : 1,4021095617529882
APVO : 1,5215856573705178
APTX : 0,17473045816733074
APTO : 2,063725099601594
APXI : 10,623937999999994
APWC : 1,5395418326693233
APXIW : не число
APXIU : 10,640207999999996
APYX : 3,698414342629481
AQMS : 1,069161354581673
AQB : 10,123402384462143
AQST : 1,40446812749004
ARAV : 1,2282330677290825
ARAY : 2,9702390438247006
ARBEW : не число
ARBKL : 5,640527888446216
ARBK : 1,3149840637450205
ARBE : 3,004193227091634
ARCC : 18,968924278884455
ARCB : 93,72513921115541
ARCE : 12,644063745019922
AREB : 3,315511952191234
ARDX : 3,5558406374502
ARDS : 0,41263408366533894
AREC : 1,5190139442231079
ARCT : 23,82519921314741
ARGX : 422,1212967410359
ARIZR : не число
ARHS : 9,960422310756968
ARIZW : не число
ARKOW : не число
ARIZ : 10,44942430278882
ARKO : 8,099111553784857
ARKR : 17,546832645418316
ARQQW : 0,4570119521912372
ARLP : 20,50089642629483
ARRW : 10,302810756972102
AROW : 24,413625480079677
ARQQ : 1,8934163346613553
ARQT : 10,990474091633464
ARTL : 2,1933366533864547
ARTLW : не число
ARRY : 20,79633269920319
ARTNA : 50,93649400597611
ARVL : 6,876247011952194
ARYD : 10,45045000000001
ARWR : 31,45129683266931
ARVN : 27,47942227091636
ARTW : 2,3352788844621495
ASLE : 15,880410358565728
ASLN : 2,8346414342629482
ASMB : 1,1270318725099604
ASML : 644,7803989083664
ASND : 99,93784867529885
ASO : 54,51754184860558
ASPS : 6,046553796812751
ASRT : 4,4576892430278905
ASTC : 10,996414342629485
ASPU : 0,1876714741035857
ASTE : 43,491254926294786
ASTLW : не число
ASRV : 3,2403984063745046
ASTS : 4,821619521912349
ASTSW : не число
ASTL : 7,203792828685258
ASTR : 5,572478087649409
ATAI : 1,8522589641434266
ASUR : 11,410059760956177
ATEX : 32,239673334661376
ATER : 0,7156912350597612
ATHE : 2,995816733067728
ASYS : 8,982629482071708
ATHA : 2,7542709163346606
ATHX : 0,8113532669322707
ATEC : 14,001195211155379
ATCOL : 23,662912356573703
ATLCP : 19,854635438247012
ATLC : 31,798884490039843
ATLCL : 22,086374533864543
ATNFW : не число
ATLO : 20,100856535856572
ATIF : 1,7188366533864554
ATNF : 2,1232729083665345
ATNI : 39,419820711155374
ATOM : 7,163854581673312
ATOS : 0,802549800796813
ATRC : 44,29758961553785
ATRA : 2,6387928286852578
ATRO : 15,050239029880482
ATSG : 21,748705233067724
ATRI : 549,6134447788845
ATXI : 1,0507231075697208
AUB : 31,772390454183288
ATXS : 10,459288846613548
AUBAP : 22,04957660400001
AUGX : 3,24547011952191
AUDC : 12,77689245816733
AUBN : 22,33049801593626
AUROW : не число
AUPH : 8,7676593625498
AUR : 1,9714800796812761
AUID : 5,923944223107572
AUVI : 2,7714203187251
AURA : 10,583296812748994
AUTL : 2,4243665338645424
AUUD : 0,6607470119521907
AUVIP : 13,491513934262944
AVDX : 9,505685258964146
AVDL : 10,946175300796819
AVAH : 1,2591932270916337
AVAV : 97,94725110159358
AVGO : 721,7503381713149
AVGR : 11,644302766932267
AVHI : 10,559191999999982
AVHIU : 10,48496015936251
AVIR : 3,763446215139441
AVO : 11,570970113545817
AVPT : 5,508575697211153
AVPTW : не число
AVRO : 1,188187250996016
AVXL : 8,577294820717137
AVT : 45,49778886852585
AWH : 4,980298804780878
AWRE : 1,6290039840637456
AVNW : 31,769402338645428
AVTX : 2,264679282868529
AVTE : 18,559286826693214
AYRO : 4,406852589641438
AY : 24,487948227091636
AYTU : 2,555438247011954
AXLA : 10,873729087649396
AXDX : 6,822191235059762
AXTI : 3,6138047808764955
AXNX : 56,78005968127495
AXSM : 70,47758365338642
AXON : 199,04926327689248
AZ : 1,6807788844621525
AXGN : 8,232868525896409
BBCP : 7,388980079681274
BATRK : 35,80008363346613
BANX : 17,324940270916322
AZPN : 196,29258929282864
BAND : 15,817438235059752
BAOS : 5,758830675298807
AZTA : 49,446972167330685
AZN : 68,84135460956176
BBGI : 0,9810159362549802
BAFN : 14,704460139442235
BASE : 15,461711147410357
BATRA : 37,81761749003988
BANR : 51,942569782868524
BANF : 88,53800799800794
BBIG : 5,250336647410357
BBLG : 4,873691235059757
BBQ : 17,239999999999892
BBLGW : 1,923844
BBIO : 18,173834679282866
BBSI : 91,57107575099607
